N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
104,두산퓨얼셀,"48,650",300,-0.61%,100,"31,863","65,494",11.99,"488,836",274.86,4.18,
105,메리츠금융지주,"23,700",650,+2.82%,500,"31,761","134,011",8.07,"290,146",5.55,16.06,
106,휠라홀딩스,"52,100",200,-0.38%,"1,000","31,652","60,752",46.42,"130,558",16.62,10.94,
107,한화시스템,"16,700",250,-1.47%,"5,000","31,550","188,919",2.45,"409,777",19.11,9.35,
108,키움증권,"118,500",500,-0.42%,"5,000","31,047","26,200",23.39,"52,323",3.16,27.63,
109,롯데쇼핑,"109,000",0,0.00%,"5,000","30,835","28,289",10.40,"46,525",-4.09,-7.70,
110,에스원,"81,000",800,-0.98%,500,"30,779","37,999",54.00,"47,884",20.59,10.48,
111,대우건설,"7,380",80,+1.10%,"5,000","30,673","415,623",10.05,"2,528,881",8.29,11.06,
112,동서,"30,300",0,0.00%,500,"30,209","99,700",3.46,"71,806",26.42,8.61,
113,한화생명,"3,410",15,-0.44%,"5,000","29,617","868,530",7.36,"1,228,340",6.33,1.90,
114,한솔케미칼,"260,500","17,500",-6.29%,"5,000","29,528","11,335",41.99,"174,153",22.77,24.50,
115,CJ,"100,000",500,-0.50%,"5,000","29,177","29,177",17.72,"46,620",-263.85,1.89,
116,KCC,"326,500","4,000",+1.24%,"5,000","29,014","8,886",11.58,"26,178",3.37,12.79,
117,LG화학우,"377,000","1,500",-0.40%,"5,000","28,987","7,689",66.87,"7,581",16.41,N/A,
118,SK케미칼,"244,500","2,000",-0.81%,"5,000","28,732","11,751",17.86,"44,774",11.09,30.49,
119,만도,"60,800",700,-1.14%,"1,000","28,550","46,957",23.91,"176,165",61.35,0.37,
120,제일기획,"24,700",500,+2.07%,200,"28,415","115,041",33.58,"578,719",17.13,16.11,
121,OCI,"119,000","1,000",-0.83%,"5,000","28,381","23,849",16.81,"357,583",-18.65,-9.89,
122,메리츠화재,"23,500",150,+0.64%,500,"28,347","120,625",10.89,"416,625",5.94,16.91,
123,BGF리테일,"163,000",500,+0.31%,"1,000","28,173","17,284",32.29,"21,912",22.26,18.60,
124,한샘,"119,000","2,500",-2.06%,"1,000","28,005","23,534",19.48,"113,991",38.18,10.83,
125,DL이앤씨,"144,500","2,000",-1.37%,"5,000","27,973","19,359",28.35,"96,108",N/A,N/A,
126,DB하이텍,"60,900","2,400",-3.79%,"5,000","27,039","44,399",17.43,"1,010,595",17.07,23.07,
127,신세계,"270,500","2,000",-0.73%,"5,000","26,631","9,845",27.94,"39,488",-83.31,-2.81,
128,현대로템,"24,350",550,+2.31%,"5,000","26,576","109,142",4.71,"2,179,213",56.37,2.84,
129,효성첨단소재,"592,000","5,000",-0.84%,"5,000","26,521","4,480",11.82,"43,790",73.07,0.03,
130,현대차우,"107,000","2,500",-2.28%,"5,000","26,062","24,357",58.93,"34,009",12.95,N/A,
131,현대위아,"95,200","2,000",-2.06%,"5,000","25,890","27,195",7.92,"158,255",168.20,1.96,
132,더존비즈온,"84,900",100,+0.12%,500,"25,759","30,341",38.82,"80,122",47.27,15.09,
133,효성,"120,000","2,000",+1.69%,"5,000","25,285","21,071",9.71,"75,184",89.69,-2.26,
134,한화에어로스페이스,"49,850","1,050",-2.06%,"5,000","25,239","50,630",19.66,"310,500",11.30,4.78,
135,BNK금융지주,"7,600",100,+1.33%,"5,000","24,771","325,935",38.37,"1,668,587",4.31,6.11,
136,KODEX 단기채권,"102,850",5,0.00%,0,"24,207","23,536",0.00,"15,901",N/A,N/A,
137,하이트진로,"34,400",150,-0.43%,"5,000","24,126","70,134",5.48,"186,600",29.76,8.23,
138,LS,"72,700",100,-0.14%,"5,000","23,409","32,200",15.46,"117,298",12.80,3.94,
139,현대해상,"25,550",400,+1.59%,500,"22,842","89,400",27.98,"492,342",6.17,7.13,
140,한화,"29,950",150,-0.50%,"5,000","22,450","74,959",17.86,"188,462",7.67,4.79,
141,대한전선,"2,605",55,-2.07%,500,"22,311","856,473",3.58,"9,403,205",186.07,0.92,
142,KODEX 200선물인버스2X,"1,950",10,+0.52%,0,"22,298","1,143,500",2.93,"180,992,164",N/A,N/A,
143,현대엘리베이,"53,500","1,200",+2.29%,"5,000","21,836","40,815",28.22,"689,730",19.51,9.78,
144,코오롱인더,"79,800","1,600",-1.97%,"5,000","21,529","26,979",19.86,"183,901",26.44,9.70,
145,TIGER 200,"42,750",185,-0.43%,0,"21,439","50,150",0.00,"683,101",N/A,N/A,
146,대웅,"36,800",800,+2.22%,500,"21,396","58,142",3.49,"917,175",24.86,15.10,
147,한전기술,"55,000",900,+1.66%,200,"21,021","38,220",1.98,"718,557",125.57,N/A,
148,진원생명과학,"45,850","1,450",-3.07%,"1,000","20,729","45,212",13.68,"2,688,791",-104.92,-30.43,
149,HDC현대산업개발,"30,800",200,-0.65%,"5,000","20,299","65,907",11.58,"306,567",9.81,8.85,
150,동국제강,"21,100",150,-0.71%,"5,000","20,136","95,433",22.58,"584,763",9.56,3.35,
151,농심,"322,000","1,000",+0.31%,"5,000","19,586","6,083",13.84,"25,530",15.21,7.50,
